Date,Ticker,Log_Return,Sector,Beta,Beta_Group
2018-01-03,AEP,-0.008459531926291635,Utilities,0.5855510507318068,Low Beta
2018-01-03,AMP,-0.0049561309139145365,Financials,1.770886085357816,High Beta
2018-01-03,APA,0.022984606376950985,Energy,1.9504802306078584,High Beta
2018-01-03,BA,0.003229002192742092,Industrials,1.655419275218408,High Beta
2018-01-03,C,0.0030881338216768904,Financials,1.570468635973682,High Beta
2018-01-03,CAG,-0.005076905148802524,Consumer Staples,0.4802031553953858,Low Beta
2018-01-03,CCL,0.0022448071150967023,Consumer Discretionary,1.8373474513096075,High Beta
2018-01-03,CHD,-0.006494886196110636,Consumer Staples,0.4887350572192573,Low Beta
2018-01-03,CHRW,-0.0027896467891172284,Industrials,0.5900930323754365,Low Beta
2018-01-03,CL,-0.003866774189060583,Consumer Staples,0.6415020560721268,Low Beta
2018-01-03,CLX,-0.010817584006570437,Consumer Staples,0.3303493339744947,Low Beta
2018-01-03,CMS,-0.006196510646041367,Utilities,0.6372607528228073,Low Beta
2018-01-03,COF,-0.0017078213042194665,Financials,1.5607250917854707,High Beta
2018-01-03,COST,0.011929615319717049,Consumer Staples,0.6636627951917302,Low Beta
2018-01-03,CPB,-0.014238813892639323,Consumer Staples,0.3452942820994704,Low Beta
2018-01-03,CVNA,0.0032716153931493224,Consumer Discretionary,1.9199095993306492,High Beta
2018-01-03,DG,-0.0007445984729889087,Consumer Staples,0.5782907860957667,Low Beta
2018-01-03,DPZ,0.0249351801872707,Consumer Discretionary,0.5289651261194434,Low Beta
2018-01-03,DVN,0.011536064758912026,Energy,1.69817010618707,High Beta
2018-01-03,ED,-0.009497061554668566,Utilities,0.5581115169616554,Low Beta
2018-01-03,EXR,0.0020985465188016594,Real Estate,0.6184219832313661,Low Beta
2018-01-03,FANG,0.010037070268243685,Energy,1.5597430966611443,High Beta
2018-01-03,FCX,-0.015290684227451291,Materials,1.634547283993815,High Beta
2018-01-03,GEN,0.0,Information Technology,0.6456855977506586,Low Beta
